Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Information Source,Location Coordinates,Migration Route,URL,UNSD Geographical Grouping,Source Quality
52664,US-Mexico Border,"December 20, 2019",2019,Dec,83.0,,83,,,,,Mixed,"Cumulative total 1 Jan - 20 Dec 2019 for Webb County Medical Examiner’s Office, Texas",Webb County Medical Examiner’s Office,"27.531364500000, -99.428485200000",Central America to US,,Northern America,5
52654,US-Mexico Border,"December 08, 2019",2019,Dec,1.0,,1,,1.0,,1.0,"Bacterial infection, Sickness and lack of access to medicines","Providence Children's Hospital, El Paso, Texas (girl was apparently ill when apprehended by US Border Patrol on 6 December 2019)","Washington Post, CNN, El Paso Times","31.771027200000, -106.500133200000",Central America to US,"https://wapo.st/35q7tix, https://cnn.it/2RWMxLS, http://bit.ly/2EmIQHr",Northern America,3
52668,US-Mexico Border,"November 30, 2019",2019,Nov,1.0,,1,,1.0,,,Heart attack,"Recovered on a ranch in Brooks County, Texas, USA",Breitbart Texas,"27.145345721607, -98.231694302749",,https://bit.ly/2MSdsFm,Northern America,1
52634,US-Mexico Border,"November 23, 2019",2019,Nov,1.0,,1,,,1.0,,Unknown,Skeletal remains recovered on a Texas ranch about 80 miles from the US- Mexican border,BREITBART,"31.967591900000, -99.901641400000",,https://bit.ly/35W2eqt,Northern America,1
52618,US-Mexico Border,"November 14, 2019",2019,Nov,1.0,,1,,,1.0,,Unknown,"Body found near Inspiration Road, Mission, Hidalgo County, Texas, USA","Telemundo40, KRGV","26.276297000000, -98.339679900000",,"https://bit.ly/35kaTCT, https://bit.ly/2XAF0Dt",Northern America,3
52605,US-Mexico Border,"November 12, 2019",2019,Nov,1.0,,1,,,,,Unknown (skeletal remains),"Ranch near Falfurrias, Brooks County, Texas, USA",Brooks County Sheriff's Office via Breitbart News,"27.226764200000, -98.133080600000",,http://bit.ly/372sFw4,Northern America,1
52617,US-Mexico Border,"November 12, 2019",2019,Nov,1.0,,1,,,1.0,,Dehydration,"Near Road 2644 in Maverick County, Texas, USA","Eagle Pass Texas News, Periódico Correo","28.797467400000, -100.215157800000",,"https://bit.ly/33b37JT, https://bit.ly/2O5F5Mk",Northern America,3
52616,US-Mexico Border,"November 10, 2019",2019,Nov,1.0,,1,,,1.0,,Unknown,"Body recovered on a ranch,  east side of Brooks County, Texas about 80 miles north of the Mexican border, USA",BREITBART,"27.038783900000, -98.242979400000",,https://bit.ly/2s2COJf,Northern America,1
52517,US-Mexico Border,"October 26, 2019",2019,Oct,1.0,,1,,1.0,,,Dehydration,"Hospital in Tubac, Santa Cruz County, Arizona - soon after being apprehended after crossing the US-Mexico border",US Border Patrol,"31.592239134151, -111.114893619690",,"https://bit.ly/2MWwM52, http://www.humaneborders.info/app/mapa.asp",Northern America,5
52508,US-Mexico Border,"October 21, 2019",2019,Oct,1.0,,1,,,1.0,,Sickness,"Hospital in Mesa, Maricopa County, Arizona, USA - 18h after being apprehended on the US-Mexico border, south of Casa Grande, Arizona, USA",US Border Patrol,"33.387601000000, -111.876294400000",,http://bit.ly/2JeIju2,Northern America,5
52523,US-Mexico Border,"October 21, 2019",2019,Oct,1.0,,1,13.0,,1.0,,Hit by vehicle,"Interstate Highway 35 (I-35) near San Antonio, Bexar County, Texas, USA",US Border Patrol,"38.406788700000, -96.243472200000",,https://bit.ly/33nDzug,Northern America,5
52488,US-Mexico Border,"October 07, 2019",2019,Oct,1.0,,1,,,1.0,,Drowning,"Río Bravo, near colonia Carmen Serdán, Reynosa, Tamaulipas, Mexico",Hoy Tamaulipas,"26.103672229764, -98.287409076176",,http://bit.ly/2MrDr5r,Northern America,1
52477,US-Mexico Border,"October 02, 2019",2019,Oct,1.0,,1,,,1.0,,Dehydration,"Near Los Galván Ranch, between Texas State Highway 83 and 44, Webb County, Texas, USA","Laredo Daily, Familias Unidas en Busca de una Esperanza","28.025147800000, -99.548918700000",,"http://bit.ly/2Iuy30m, http://bit.ly/31Rxvte",Northern America,3
